SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,FGA,FTA,TOV,AST_PCT,TEAM_NAME,GP_TEAM,FGA_TEAM,FTA_TEAM,TOV_TEAM,PLAYER_POSSESSIONS,TEAM_POSSESSIONS,USG_PCT,SELF_CREATION_INDEX,AST_TO_USG_RATIO,SHOT_CREATION_LOAD,SELFISHNESS_SCORE,KOBE_QUOTIENT,TEAM_RANK,LEAGUE_RANK
2023-24,1630191,Isaiah Stewart,1610612765,DET,46,1422.8166666666666,382,85,66,0.069,Detroit Pistons,82,7236,1780,1248.0,485.4,9267.2,0.05237828038674033,0.05234213937327348,0.013173399258343637,0.7869798104655954,57.80712742478152,0.05234213937327348,12,300
2023-24,1628379,Luke Kennard,1610612763,MEM,39,999.0466666666666,315,45,54,0.212,Memphis Grizzlies,82,7229,1722,1236.0,388.8,9222.68,0.04215694353485104,0.042067570814557156,0.05028827572016461,0.8101851851851851,57.805181445097745,0.042067570814557156,13,301
2023-24,1628976,Wendell Carter Jr.,1610612753,ORL,55,1406.3033333333333,425,134,68,0.1,Orlando Magic,82,6964,2002,1206.0,551.96,9050.880000000001,0.06098412530052326,0.06092314117522274,0.016397709978983988,0.7699833321255163,57.79903165453126,0.06092314117522274,10,302
2023-24,1641723,Kobe Bufkin,1610612737,ATL,17,196.00333333333333,92,8,10,0.233,Atlanta Hawks,82,7584,1906,1110.0,105.52,9532.64,0.011069336511186828,0.011043544957115762,0.2104913874147081,0.8718726307808946,57.787026076065374,0.011043544957115762,10,303
2023-24,1631100,AJ Griffin,1610612737,ATL,20,170.73,62,2,8,0.041,Atlanta Hawks,82,7584,1906,1110.0,70.88,9532.64,0.007435505799023146,0.007432457241645546,0.05514083521444695,0.8747178329571107,57.77537689110314,0.007432457241645546,11,304
2023-24,201567,Kevin Love,1610612748,MIA,55,924.2633333333333,359,108,48,0.189,Miami Heat,82,7022,1806,1038.0,454.52,8854.64,0.051331279419603734,0.05123426330150069,0.03681965502068116,0.7898442312769516,57.774535802323186,0.05123426330150069,13,305
2023-24,1641793,D'Moi Hodge,1610612747,LAL,7,41.24333333333333,15,2,1,0.227,Los Angeles Lakers,82,7177,1983,1146.0,16.880000000000003,9195.52,0.0018356765033407574,0.0018315095176781738,1.2366013270142178,0.8886255924170615,57.75513890847486,0.0018315095176781738,9,306
2023-24,1630219,Skylar Mays,1610612747,LAL,38,433.27166666666665,159,17,20,0.293,Los Angeles Lakers,82,7177,1983,1146.0,186.48,9195.52,0.02027944042316258,0.020220021662722715,0.14448130416130417,0.8526383526383526,57.746744669693555,0.020220021662722715,10,307
2023-24,1630168,Onyeka Okongwu,1610612737,ATL,55,1404.7366666666667,365,116,45,0.071,Atlanta Hawks,82,7584,1906,1110.0,461.04,9532.64,0.04836435656858961,0.048330017875425915,0.014680232517785871,0.7916883567586326,57.73994139791624,0.048330017875425915,12,308
2023-24,1628972,Troy Brown Jr.,1610612765,DET,59,826.5116666666667,226,37,30,0.102,Detroit Pistons,82,7236,1780,1248.0,272.28,9267.2,0.029381042817679552,0.029351074154005518,0.03471626267078008,0.8300279124430734,57.734999961568654,0.029351074154005518,13,309
2023-24,203933,T.J. Warren,1610612750,MIN,11,124.67333333333333,41,4,4,0.088,Minnesota Timberwolves,82,6974,1881,1162.0,46.76,8963.64,0.0052166307437603475,0.005212040108705838,0.16869125748502992,0.8768177929854577,57.709821089459574,0.005212040108705838,9,310
2023-24,1630538,Bones Hyland,1610612746,LAC,37,540.21,251,23,44,0.269,LA Clippers,82,7108,1817,1078.0,305.12,8985.48,0.03395700619221233,0.03386566184555528,0.07921781987414787,0.822627163083377,57.703223509356036,0.03386566184555528,12,311
2023-24,201976,Patrick Beverley,1610612749,MIL,73,1462.5116666666668,379,90,65,0.205,Milwaukee Bucks,82,7258,1960,1059.0,483.6,9179.4,0.052683181907314205,0.05257518138440421,0.038911848635235724,0.7837055417700579,57.69943811169373,0.05257518138440421,11,312
2023-24,1629626,Bol Bol,1610612756,PHX,43,469.0283333333333,151,19,19,0.054,Phoenix Suns,82,7063,1915,1221.0,178.36,9126.6,0.01954287467402976,0.019532321521705785,0.027631554160125586,0.8466023772146221,57.69216253125363,0.019532321521705785,10,313
2023-24,202330,Gordon Hayward,1610612760,OKC,51,1245.25,403,120,66,0.17,Oklahoma City Thunder,82,7324,1759,1039.0,521.8,9136.96,0.05710871011802613,0.05701162531082549,0.029767788424683788,0.7723265619011116,57.66287964274328,0.05701162531082549,12,314
2023-24,1630163,LaMelo Ball,1610612766,CHA,22,711.35,423,104,83,0.395,Charlotte Hornets,82,7133,1512,1129.0,551.76,8927.279999999999,0.061806059628464666,0.06156192569293223,0.06390959112657678,0.7666376685515441,57.646995756169474,0.06156192569293223,9,315
