game_id,home_team,away_team,home_flagrants,away_flagrants,home_score,away_score,home_rebounds,away_rebounds,home_assists,away_assists,home_turnovers,away_turnovers,home_ftm,away_ftm,home_fta,away_fta,home_inactive_players,away_inactive_players
0022301178,1610612750,1610612737,0,0,109,106,44,40,29,23,14,14,23,17,29,25,5,1
0022301171,1610612755,1610612753,0,0,125,113,44,45,22,25,11,11,23,19,28,25,1,4
0022301184,1610612746,1610612762,0,0,109,110,44,46,23,26,13,16,13,22,19,25,0,2
0022301173,1610612738,1610612766,0,0,131,98,53,33,34,20,6,19,9,19,13,22,1,0
0022301167,1610612738,1610612752,0,0,109,118,36,52,25,24,12,12,13,6,16,10,0,6
0022301166,1610612765,1610612741,0,0,105,127,38,42,27,28,20,8,15,11,23,15,4,0
0022301168,1610612762,1610612745,0,0,124,121,49,39,27,22,14,10,22,20,27,22,2,4
2042300402,1612709889,1612709915,0,0,99,89,54,53,25,23,12,12,8,4,11,8,5,5
0022301170,1610612758,1610612740,0,0,123,135,32,40,26,35,14,13,15,15,20,18,1,3
0022301169,1610612757,1610612744,0,0,92,100,49,46,22,24,12,16,14,16,17,20,4,5
0022301164,1610612743,1610612750,0,0,116,107,44,35,31,23,13,9,13,12,23,21,1,1
0022301163,1610612760,1610612759,0,0,127,89,62,47,33,24,12,15,17,16,21,20,0,0
0022301165,1610612746,1610612756,0,0,108,124,44,48,23,29,12,13,8,14,10,15,2,2
0022301160,1610612751,1610612761,0,0,106,102,56,45,25,19,13,9,19,16,24,18,3,3
0022301158,1610612739,1610612763,0,0,110,98,47,44,27,21,13,13,21,18,29,19,2,4
0022301161,1610612748,1610612742,0,0,92,111,46,39,22,27,15,7,13,10,13,13,2,1
0022301162,1610612749,1610612753,0,0,117,99,43,34,27,19,12,15,16,16,20,23,2,1
0022301159,1610612737,1610612766,0,0,114,115,38,33,35,25,16,13,10,21,16,22,2,3
0022301154,1610612762,1610612743,0,0,95,111,44,43,19,30,14,9,13,5,13,11,3,1
0022301153,1610612760,1610612758,0,0,112,105,42,56,21,23,13,17,23,19,31,26,2,6
0022301145,1610612755,1610612765,0,0,120,102,51,44,29,20,7,16,19,20,23,24,1,3
0022301149,1610612741,1610612752,0,0,117,128,39,31,20,31,9,10,13,19,19,20,3,7
0022301146,1610612761,1610612754,0,0,123,140,40,44,21,33,15,13,24,16,33,23,3,1
0022301147,1610612737,1610612748,0,0,111,117,59,46,28,29,15,18,11,15,14,21,2,6
0022301150,1610612745,1610612753,0,0,118,106,37,42,29,23,12,14,13,21,18,23,2,0
0022301148,1610612749,1610612738,0,0,104,91,49,38,29,27,16,12,1,0,2,0,2,2
2042300401,1612709915,1612709889,0,0,106,86,50,49,28,22,9,14,5,3,5,6,0,2
0022301152,1610612750,1610612764,1,0,130,121,44,41,30,26,8,13,26,13,32,17,1,3
0022301151,1610612763,1610612759,0,0,87,102,49,51,21,30,7,16,9,8,11,8,4,0
0022301144,1610612766,1610612742,0,0,104,130,39,55,24,35,11,14,16,13,21,20,0,2
0022301156,1610612756,1610612746,0,0,92,105,38,63,17,28,8,18,24,11,28,11,2,2
0022301155,1610612747,1610612744,0,0,120,134,40,42,31,37,7,15,20,14,24,21,1,1
0022301157,1610612757,1610612740,0,0,100,110,47,45,28,25,21,9,7,27,8,29,4,2
0022301140,1610612759,1610612755,0,0,126,133,59,46,31,31,25,10,22,17,26,19,4,2
2042300311,1612709914,1612709889,0,1,107,114,38,47,23,19,14,17,15,15,19,19,2,5
0022301131,1610612742,1610612745,0,1,147,136,47,32,21,31,17,10,40,27,45,35,6,2
0022301134,1610612738,1610612757,0,0,124,107,40,53,34,26,12,14,10,13,13,13,0,4
0022301133,1610612754,1610612748,0,0,117,115,37,39,27,21,6,7,20,29,21,32,5,5
0022301138,1610612756,1610612740,0,0,105,113,38,42,30,26,15,12,13,17,14,19,6,5
0022301142,1610612744,1610612762,0,0,118,110,47,29,32,21,13,11,6,17,6,21,0,3
0022301135,1610612766,1610612760,0,0,118,121,36,36,29,33,18,16,11,13,14,17,5,2
0022301141,1610612751,1610612758,0,0,77,107,46,54,17,31,16,9,10,12,13,16,4,0
0022301132,1610612746,1610612739,0,0,120,118,48,36,26,27,15,11,24,23,24,27,4,5
0022301137,1610612761,1610612764,0,0,130,122,49,43,33,29,13,15,21,22,28,30,1,2
0022301136,1610612753,1610612741,0,0,113,98,40,37,24,20,10,21,18,16,19,22,0,1
0022301139,1610612749,1610612752,0,0,109,122,38,41,27,25,14,5,27,18,32,22,1,6
2042300301,1612709915,1612709921,0,0,99,77,49,41,20,18,11,13,6,2,8,4,4,0
0022301143,1610612747,1610612750,0,0,117,127,41,46,27,29,15,14,28,12,32,14,0,2
0022301128,1610612751,1610612765,0,0,113,103,48,28,20,25,18,7,26,2,33,4,2,4
0022301130,1610612743,1610612737,0,0,142,110,47,38,38,30,15,16,13,24,16,29,1,2
0022301127,1610612747,1610612739,0,0,116,97,40,40,30,24,17,18,10,8,16,12,1,0
0022301129,1610612763,1610612755,0,0,96,116,44,41,21,27,18,19,15,18,21,23,4,1
0022301117,1610612764,1610612757,0,0,102,108,45,55,24,29,9,12,21,17,30,24,2,4
0022301116,1610612754,1610612760,0,0,126,112,39,39,30,24,13,15,19,20,21,24,4,1
0022301122,1610612749,1610612761,0,0,111,117,45,47,21,24,13,16,17,31,21,36,4,2
0022301119,1610612741,1610612752,0,1,108,100,57,38,27,22,16,17,13,18,16,24,4,5
0022301115,1610612766,1610612753,0,0,124,115,36,37,29,24,18,10,23,22,23,26,3,5
0022301118,1610612738,1610612758,0,0,101,100,51,54,25,21,7,7,13,7,18,13,1,2
0022301120,1610612745,1610612748,0,0,104,119,45,48,25,27,9,9,22,18,25,21,1,3
2042300201,1612709925,1612709921,0,0,112,120,48,50,21,22,19,6,12,19,13,24,4,5
0022301123,1610612740,1610612759,0,0,109,111,41,34,28,34,17,16,12,10,12,13,5,3
2042300231,1612709904,1612709889,0,0,93,111,41,51,18,30,12,18,10,15,14,20,3,4
0022301125,1610612756,1610612750,0,0,97,87,49,44,29,23,18,18,22,11,29,14,1,1
0022301121,1610612763,1610612765,0,0,108,90,49,38,24,22,20,17,14,18,16,24,4,2
0022301097,1610612742,1610612744,0,0,108,106,41,44,30,27,17,15,16,12,21,18,5,3
0022301126,1610612746,1610612762,0,0,131,102,51,43,32,20,14,15,16,23,18,29,0,1
0022301111,1610612748,1610612755,0,0,105,109,51,41,24,28,15,11,14,9,16,11,4,3
0022301113,1610612745,1610612744,0,0,110,133,29,43,23,29,12,18,26,22,30,25,0,0
2042300221,1612709914,1612709902,0,0,112,109,34,48,25,27,17,20,16,8,18,13,2,4
0022301114,1610612746,1610612743,0,0,102,100,48,51,22,27,6,13,27,17,32,25,5,5
2042300211,1612709915,1612709909,0,0,119,112,57,35,22,23,19,5,7,8,12,8,4,4
0022301124,1610612742,1610612737,0,0,109,95,53,56,20,21,14,21,15,14,17,21,2,2
