game_id,home_team,away_team,home_flagrants,away_flagrants,home_score,away_score
0022301063,1610612754,1610612747,1,0,109,90
0022301068,1610612748,1610612757,0,0,142,82
0022301071,1610612743,1610612750,0,0,98,111
0022301062,1610612766,1610612744,0,0,97,115
0022301070,1610612759,1610612752,1,0,130,126
0022301069,1610612760,1610612756,0,0,128,103
0022301066,1610612751,1610612741,0,0,125,108
0022301061,1610612740,1610612749,0,0,107,100
0022301060,1610612737,1610612738,0,0,123,122
0022301052,1610612755,1610612746,0,0,107,108
0022301055,1610612763,1610612747,0,0,124,136
0022301056,1610612750,1610612765,0,0,106,91
0022301051,1610612737,1610612757,0,0,120,106
0022301050,1610612764,1610612751,0,0,119,122
0022301048,1610612766,1610612739,0,0,118,111
0022301054,1610612741,1610612754,0,0,125,99
0022301049,1610612753,1610612744,0,0,93,101
0022301057,1610612760,1610612745,1,0,126,132
0022301059,1610612743,1610612756,0,0,97,104
0022301058,1610612762,1610612759,0,0,111,118
0022301053,1610612761,1610612752,0,0,101,145
0022301044,1610612748,1610612744,0,0,92,113
0022301046,1610612740,1610612760,0,0,112,119
0022301047,1610612758,1610612742,0,0,96,132
0022301045,1610612749,1610612747,0,0,124,128
0022301043,1610612746,1610612754,0,0,116,133
0022301037,1610612741,1610612764,1,0,105,107
0022301040,1610612743,1610612763,0,0,128,103
0022301036,1610612761,1610612751,0,0,88,96
0022301041,1610612762,1610612742,0,0,105,115
0022301035,1610612752,1610612765,0,0,124,99
0022301033,1610612739,1610612766,1,0,115,92
0022301042,1610612758,1610612755,0,0,108,96
0022301039,1610612759,1610612756,0,0,104,102
0022301038,1610612745,1610612757,0,0,110,92
0022301034,1610612737,1610612738,0,0,120,118
0022301029,1610612748,1610612739,0,0,121,84
0022301031,1610612750,1610612744,0,0,114,110
0022301028,1610612746,1610612755,0,0,107,121
0022301032,1610612747,1610612754,0,0,150,145
0022301027,1610612765,1610612740,0,0,101,114
0022301030,1610612749,1610612760,0,0,118,93
